qp_position,time,qp_velocity,qp_acceleration,qp_jerk
0,0,0.5,0,0.8
0.1,0.2,0.5,0.16,0.75188
0.2,0.388311,0.531037,0.310376,0.719633
0.3,0.558791,0.586579,0.445891,0.704735
0.4,0.710716,0.65822,0.566034,0.70128
0.5,0.845992,0.739229,0.672576,0.703651
0.6,0.967173,0.825212,0.767763,0.708487
0.7,1.07664,0.913525,0.853618,0.714102
0.8,1.17638,1.00262,0.931788,0.68391
0.9,1.26799,1.09161,1,0
1,1.35276,1.17966,1,0
1.1,1.43202,1.26159,1,0
1.2,1.50673,1.33851,1,0
1.3,1.57759,1.41124,1,0
1.4,1.64514,1.48041,1,0
1.5,1.7098,1.54648,1,0
1.6,1.77192,1.60985,1,0
1.7,1.83177,1.67081,1,0
1.8,1.88959,1.72963,1,0
1.9,1.94556,1.78651,1,0
2,1.99986,1.84163,1,0
2.1,2.05263,1.89515,1,0
2.2,2.10398,1.94721,1,0
2.3,2.15404,1.9979,1,0
2.4,2.20288,2.04734,1,0
2.5,2.2506,2.09562,1,0
2.6,2.29727,2.1428,1,-0.542539
2.7,2.34295,2.18897,0.974681,-0.774345
2.8,2.38773,2.23306,0.939306,-0.77479
2.9,2.43169,2.27473,0.90461,-0.774678
3,2.4749,2.31416,0.870554,-0.774077
3.1,2.51743,2.35148,0.837104,-0.773045
3.2,2.55933,2.38681,0.804229,-0.77163
3.3,2.60065,2.42027,0.771901,-0.769875
3.4,2.64143,2.45196,0.740091,-0.767815
3.5,2.68172,2.48196,0.708777,-0.765481
3.6,2.72155,2.51035,0.677935,-0.7629
3.7,2.76097,2.53721,0.647545,-0.760094
3.8,2.79999,2.56261,0.617587,-0.757085
3.9,2.83865,2.58659,0.588043,-0.753891
4,2.87698,2.60923,0.558897,-0.750526
4.1,2.91499,2.63056,0.530133,-0.747005
4.2,2.95272,2.65064,0.501736,-0.74334
4.3,2.99018,2.6695,0.473692,-0.739542
4.4,3.02739,2.68719,0.445989,-0.73562
4.5,3.06438,2.70373,0.418613,-0.731583
4.6,3.10115,2.71917,0.391555,-0.727439
4.7,3.13774,2.73353,0.364803,-0.728942
4.8,3.17414,2.74685,0.338136,-0.732492
4.9,3.21039,2.75913,0.31147,-0.735768
5,3.24648,2.77039,0.284803,-0.738772
5.1,3.28244,2.78066,0.258136,-0.741508
5.2,3.31829,2.78992,0.23147,-0.74715
5.3,3.35402,2.79821,0.204689,-0.753885
5.4,3.38967,2.80551,0.177748,-0.760228
5.5,3.42523,2.81184,0.15065,-0.766163
5.6,3.46073,2.81719,0.123402,-0.771672
5.7,3.49617,2.82157,0.0960107,-0.776739
5.8,3.53157,2.82497,0.0684821,-0.781349
5.9,3.56694,2.8274,0.0408235,-0.785486
6,3.60229,2.82884,0.0130422,-0.789134
6.1,3.63763,2.8293,-0.0148538,-0.792278
6.2,3.67298,2.82877,-0.0428565,-0.794906
6.3,3.70835,2.82726,-0.0709572,-0.797003
6.4,3.74375,2.82475,-0.0991471,-0.798559
6.5,3.7792,2.82124,-0.127417,-0.431269
6.6,3.8147,2.81672,-0.142704,0.8
6.7,3.85027,2.81165,-0.114302,0.8
6.8,3.88589,2.80758,-0.0858488,0.799999
