position,original_velocity,filtered_velocity
0,3,3
0.1,3,3
0.2,3,3
0.3,3,3
0.4,3,3
0.5,3,3
0.6,3,3
0.7,3,3
0.8,3,3
0.9,3,3
1,3,3
1.1,3,3
1.2,3,3
1.3,3,3
1.4,3,3
1.5,3,3
1.6,3,3
1.7,3,3
1.8,3,3
1.9,3,3
2,3,3
2.1,3,3
2.2,3,3
2.3,3,3
2.4,3,3
2.5,3,3
2.6,3,3
2.7,3,3
2.8,3,3
2.9,3,3
3,3,3
3.1,3,3
3.2,3,3
3.3,3,3
3.4,3,3
3.5,3,3
3.6,3,3
3.7,3,3
3.8,3,3
3.9,3,3
4,3,3
4.1,3,3
4.2,3,3
4.3,3,3
4.4,3,3
4.5,3,3
4.6,3,3
4.7,3,3
4.8,3,3
4.9,3,3
5,3,3
5.1,3,3
5.2,3,3
5.3,3,3
5.4,3,3
5.5,3,3
5.6,3,3
5.7,3,3
5.8,3,3
5.9,3,3
6,3,3
6.1,3,3
6.2,3,3
6.3,3,3
6.4,3,3
6.5,3,3
6.6,3,3
6.7,3,3
6.8,3,3
6.9,3,3
7,3,3
7.1,3,2.80147
7.2,3,2.80147
7.3,3,2.80147
7.4,3,2.80147
7.5,3,2.80147
7.6,3,2.80147
7.7,3,2.80147
7.8,3,2.80147
7.9,3,2.80147
8,3,2.80147
8.1,3,2.80147
8.2,3,2.80147
8.3,3,2.80147
8.4,3,2.80147
8.5,3,2.80147
8.6,3,2.80147
8.7,3,2.80147
8.8,3,2.80147
8.9,3,2.80147
9,3,2.80147
9.1,3,2.80147
9.2,3,2.80147
9.3,3,2.80147
9.4,3,2.80147
9.5,3,2.80147
9.6,3,2.80147
9.7,3,2.80147
9.8,3,2.80147
9.9,3,2.80147
10,5,2.80147
10.1,5,2.80147
10.2,5,2.80147
10.3,5,2.80147
10.4,5,2.80147
10.5,5,2.80147
10.6,5,2.80147
10.7,5,2.80147
10.8,5,2.80147
10.9,5,2.80147
11,5,2.80147
11.1,5,2.80147
11.2,5,2.80147
11.3,5,2.80147
11.4,5,2.80147
11.5,5,2.80147
11.6,5,2.80147
11.7,5,2.80147
11.8,5,2.80147
11.9,5,2.80147
12,5,2.80147
12.1,5,2.80147
12.2,5,2.80147
12.3,5,2.80147
12.4,5,2.80147
12.5,5,2.80147
12.6,5,2.80147
12.7,5,2.80147
12.8,5,2.80147
12.9,5,2.80147
13,5,2.80147
13.1,5,2.80147
13.2,5,2.80147
13.3,5,2
13.4,5,2
13.5,5,2
13.6,5,2
13.7,5,2
13.8,5,2
13.9,5,2
14,5,2
14.1,5,2
14.2,5,2
14.3,5,2
14.4,5,2
14.5,5,2
14.6,5,2
14.7,5,2
14.8,5,2
14.9,5,2
15,5,2
15.1,5,2
15.2,5,2
15.3,5,2
15.4,5,2
15.5,5,2
15.6,5,2
15.7,5,2
15.8,5,2
15.9,5,2
16,5,2
16.1,5,2
16.2,5,2
16.3,5,2
16.4,5,2
16.5,5,2
16.6,5,2
16.7,5,2
16.8,5,2
16.9,5,2
17,5,2
17.1,5,2
17.2,5,2
17.3,5,2
17.4,5,2
17.5,5,2
17.6,5,2
17.7,5,2
17.8,5,2
17.9,5,2
18,5,2
18.1,5,2
18.2,5,2
18.3,5,2
18.4,5,2
18.5,5,2
18.6,5,2
18.7,5,2
18.8,5,2
18.9,5,2.86957
19,5,5
19.1,5,5
19.2,5,5
19.3,5,5
19.4,5,5
19.5,5,5
19.6,5,5
19.7,5,5
19.8,5,5
19.9,5,5
20,4,4
20.1,4,4
20.2,4,4
20.3,4,4
20.4,4,4
20.5,4,4
20.6,4,4
20.7,4,4
20.8,4,4
20.9,4,4
21,4,4
21.1,4,4
21.2,4,4
21.3,4,4
21.4,4,4
21.5,4,4
21.6,4,4
21.7,4,4
21.8,4,4
21.9,4,4
22,4,4
22.1,4,4
22.2,4,4
22.3,4,4
22.4,4,4
22.5,4,4
22.6,4,4
22.7,4,4
22.8,4,4
22.9,4,4
23,4,4
23.1,4,4
23.2,4,4
23.3,4,4
23.4,4,4
23.5,4,4
23.6,4,4
23.7,4,4
23.8,4,4
23.9,4,4
24,4,4
24.1,4,4
24.2,4,4
24.3,4,4
24.4,4,4
24.5,4,4
24.6,4,4
24.7,4,4
24.8,4,4
24.9,4,4
25,4,4
25.1,4,4
25.2,4,4
25.3,4,4
25.4,4,4
25.5,4,4
25.6,4,4
25.7,4,4
25.8,4,4
25.9,4,4
26,4,4
26.1,4,4
26.2,4,4
26.3,4,4
26.4,4,4
26.5,4,4
26.6,4,4
26.7,4,4
26.8,4,4
26.9,4,4
27,4,4
27.1,4,4
27.2,4,4
27.3,4,4
27.4,4,4
27.5,4,4
27.6,4,4
27.7,4,4
27.8,4,4
27.9,4,4
28,4,4
28.1,4,4
28.2,4,4
28.3,4,4
28.4,4,4
28.5,4,4
28.6,4,4
28.7,4,4
28.8,4,4
28.9,4,4
29,4,4
29.1,4,4
29.2,4,4
29.3,4,4
29.4,4,4
29.5,4,4
29.6,4,4
29.7,4,4
29.8,4,4
29.9,0,0
