position,max_position,obs_position,jerk_position,lp_position,qp_position,nc_position,max_time,obs_filtered_time,jerk_filtered_time,max_velocity,obs_filtered_velocity,jerk_filtered_velocity,lp_time,lp_velocity,lp_acceleration,lp_jerk,qp_time,qp_velocity,qp_acceleration,qp_jerk,nc_time,nc_velocity,nc_acceleration,nc_jerk,
0,0,0,0,0,0,0,0,0,0,3,3,0.5,0,0.5,0,0.8,0,0.5,0,0.124837,0,0.5,0,0.8,
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0333333,0.0333333,0.18797,3,3,0.532,0.2,0.5,0.16,0.75188,0.2,0.5,0.0249675,0.118726,0.2,0.5,0.16,0.133333,
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0666667,0.0666667,0.357363,3,3,0.590341,0.388311,0.531037,0.310376,0.719633,0.398032,0.504969,0.0487126,0.113834,0.388311,0.531037,0.186667,0.14161,
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.507542,3,3,0.665872,0.558791,0.586579,0.445891,0.704735,0.592386,0.514525,0.0712554,0.109905,0.565272,0.565096,0.213333,0.150692,
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.133333,0.133333,0.64072,3,3,0.750879,0.710716,0.65822,0.566034,0.70128,0.781711,0.528192,0.0926158,0.106685,0.731478,0.601664,0.24,0.160444,
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.166667,0.166667,0.759703,3,3,0.840451,0.845992,0.739229,0.672576,0.703651,0.965048,0.545445,0.112814,0.103938,0.887651,0.640312,0.266667,0.17075,
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2,0.2,0.867022,3,3,0.931802,0.967173,0.825212,0.767763,0.708487,1.1418,0.56575,0.13187,0.101458,1.03456,0.680686,0.293333,0.181516,
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.233333,0.233333,0.964735,3,3,1.02341,1.07664,0.913525,0.853618,0.714102,1.3117,0.588597,0.149803,0.099067,1.17297,0.722496,0.32,0.192666,
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.266667,0.266667,1.05446,3,3,1.11446,1.17638,1.00262,0.931788,0.68391,1.47469,0.613521,0.166634,0.0966213,1.3036,0.765506,0.346667,0.204135,
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.3,0.3,1.13751,3,3,1.20419,1.26799,1.09161,1,0,1.63092,0.640105,0.182383,0.0940078,1.42713,0.809527,0.373333,0.215874,
1,1,1,1,1,1,1,0.333333,0.333333,1.21519,3,3,1.28723,1.35276,1.17966,1,0,1.78062,0.66799,0.197069,0.0911403,1.54417,0.8544,0.4,0.22784,
1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.366667,0.366667,1.28846,3,3,1.36492,1.43202,1.26159,1,0,1.92412,0.696868,0.210713,0.087956,1.65528,0.9,0.426667,0.24,
1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.4,0.4,1.35799,3,3,1.43818,1.50673,1.33851,1,0,2.06177,0.726476,0.223335,0.0844111,1.76097,0.946221,0.453333,0.252325,
1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.433333,0.433333,1.42432,3,3,1.50771,1.57759,1.41124,1,0,2.19394,0.756594,0.234954,0.0804782,1.86168,0.992975,0.48,0.264793,
1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.466667,0.466667,1.48785,3,3,1.57404,1.64514,1.48041,1,0,2.321,0.787036,0.245591,0.0761422,1.95781,1.04019,0.506667,0.277385,
1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,1.54891,3,3,1.63757,1.7098,1.54648,1,0,2.4433,0.817645,0.255265,0.0713985,2.04974,1.08781,0.533333,0.290083,
1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.533333,0.533333,1.60778,3,3,1.69864,1.77192,1.60985,1,0,2.56119,0.84829,0.263998,0.0662502,2.13778,1.13578,0.56,0.302875,
1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.566667,0.566667,1.66468,3,3,1.75751,1.83177,1.67081,1,0,2.67497,0.87886,0.271807,0.0607073,2.22224,1.18406,0.586667,0.31575,
1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.6,0.6,1.7198,3,3,1.81441,1.88959,1.72963,1,0,2.78495,0.909262,0.278715,0.0547844,2.30337,1.23261,0.613333,0.328697,
1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.633333,0.633333,1.77329,3,3,1.86952,1.94556,1.78651,1,0,2.8914,0.939415,0.28474,0.0485001,2.38141,1.28141,0.64,0.341708,
2,2,2,2,2,2,2,0.666667,0.666667,1.82529,3,3,1.92301,1.99986,1.84163,1,0,2.99457,0.969251,0.289903,0.041876,2.45657,1.33041,0.666667,0.354777,
2.1,2.1,2.1,2.1,2.1,2.1,2.1,0.7,0.7,1.87592,3,3,1.97501,2.05263,1.89515,1,0,3.0947,0.998714,0.294223,0.034936,2.52906,1.37961,0.693333,0.367897,
2.2,2.2,2.2,2.2,2.2,2.2,2.2,0.733333,0.733333,1.92529,3,3,2.02564,2.10398,1.94721,1,0,3.192,1.02775,0.297721,0.0277056,2.59904,1.42899,0.72,0.381063,
2.3,2.3,2.3,2.3,2.3,2.3,2.3,0.766667,0.766667,1.97348,3,3,2.07501,2.15404,1.9979,1,0,3.28667,1.05632,0.300417,0.0202117,2.66667,1.47851,0.746667,0.39427,
