qp_position,ref_velocity,qp_velocity,qp_acceleration,qp_jerk
0,3,0.5,0,0.195978
0.1,3,0.5,0.0391956,0.188485
0.2,3,0.507779,0.0768926,0.183909
0.3,3,0.522702,0.113111,0.181689
0.4,3,0.543912,0.14787,0.181236
0.5,3,0.570451,0.181191,0.181986
0.6,3,0.601375,0.213093,0.18344
0.7,3,0.635823,0.243597,0.185182
0.8,3,0.673045,0.272722,0.186878
0.9,3,0.712415,0.300488,0.188273
1,3,0.753414,0.326915,0.189172
1.1,3,0.795623,0.352024,0.189438
1.2,3,0.838701,0.375834,0.18897
1.3,3,0.882376,0.398365,0.187704
1.4,3,0.926423,0.419638,0.185599
1.5,3,0.970663,0.439672,0.182633
1.6,3,1.01495,0.458487,0.178799
1.7,3,1.05916,0.476104,0.174103
1.8,3,1.1032,0.492541,0.168559
1.9,3,1.14697,0.507821,0.162187
2,3,1.19043,0.521961,0.155014
2.1,3,1.23349,0.534983,0.14707
2.2,3,1.27613,0.546906,0.138388
2.3,3,1.31829,0.55775,0.129004
2.4,3,1.35994,0.567536,0.118954
2.5,3,1.40105,0.576283,0.108277
2.6,3,1.44159,0.584011,0.0970137
2.7,3,1.48155,0.590741,0.0852028
2.8,3,1.5209,0.596492,0.0728851
2.9,3,1.55963,0.601284,0.0601008
3,3,1.59772,0.605138,0.0468904
3.1,3,1.63515,0.608072,0.033294
3.2,3,1.67193,0.610109,0.0193517
3.3,3,1.70803,0.611266,0.0051028
3.4,3,1.74345,0.611565,-0.00941359
3.5,3,1.77818,0.611025,-0.024159
3.6,3,1.81222,0.609666,-0.0390955
3.7,3,1.84555,0.607509,-0.0541859
3.8,3,1.87818,0.604573,-0.0693935
3.9,3,1.9101,0.600878,-0.0846826
4,3,1.9413,0.596445,-0.100018
4.1,3,1.97179,0.591293,-0.115365
4.2,3,2.00155,0.585442,-0.130691
4.3,3,2.03059,0.578912,-0.145963
4.4,3,2.0589,0.571724,-0.161148
4.5,3,2.08649,0.563897,-0.176216
4.6,3,2.11334,0.555452,-0.191136
4.7,3,2.13946,0.546407,-0.205879
4.8,3,2.16485,0.536784,-0.220417
4.9,3,2.18951,0.526603,-0.234722
5,3,2.21343,0.515882,-0.248768
5.1,3,2.23661,0.504643,-0.262527
5.2,3,2.25906,0.492906,-0.275977
5.3,3,2.28078,0.480689,-0.289091
5.4,3,2.30176,0.468014,-0.301848
5.5,3,2.322,0.4549,-0.314225
5.6,3,2.34151,0.441368,-0.3262
5.7,3,2.36028,0.427437,-0.337754
5.8,3,2.37832,0.413127,-0.348866
5.9,3,2.39563,0.398458,-0.359519
6,3,2.41221,0.383451,-0.369694
6.1,3,2.42805,0.368125,-0.379375
6.2,3,2.44316,0.3525,-0.388545
6.3,3,2.45755,0.336597,-0.397191
6.4,3,2.47121,0.320435,-0.405297
6.5,3,2.48414,0.304034,-0.41285
6.6,3,2.49635,0.287415,-0.41984
6.7,3,2.50784,0.270596,-0.426253
6.8,3,2.5186,0.2536,-0.43208
6.9,3,2.52865,0.236444,-0.437311
7,3,2.53799,0.21915,-0.441937
7.1,2.80147,2.54661,0.201737,-0.445952
7.2,2.80147,2.55452,0.184225,-0.449347
7.3,2.80147,2.56172,0.166635,-0.452117
7.4,2.80147,2.56821,0.148986,-0.454258
7.5,2.80147,2.57401,0.131298,-0.455764
7.6,2.80147,2.57911,0.113592,-0.456632
7.7,2.80147,2.58351,0.095887,-0.456861
7.8,2.80147,2.58721,0.0782032,-0.456448
7.9,2.80147,2.59024,0.0605608,-0.455393
8,2.80147,2.59257,0.0429796,-0.453696
8.1,2.80147,2.59423,0.0254798,-0.451358
8.2,2.80147,2.59521,0.00808123,-0.448381
8.3,2.80147,2.59552,-0.009196,-0.444767
8.4,2.80147,2.59517,-0.0263319,-0.44052
8.5,2.80147,2.59415,-0.0433065,-0.435644
8.6,2.80147,2.59248,-0.0600999,-0.430145
8.7,2.80147,2.59016,-0.0766919,-0.424028
8.8,2.80147,2.5872,-0.0930626,-0.4173
8.9,2.80147,2.5836,-0.109192,-0.409968
9,2.80147,2.57937,-0.12506,-0.402041
9.1,2.80147,2.57452,-0.140647,-0.393528
9.2,2.80147,2.56905,-0.155932,-0.384437
